# 大体同じものが出力されるはずだが，表示される順番が異なることがあるので注意．
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
      Bottleneck-372           [-1, 1024, 8, 8]               0
      Bottleneck-373           [-1, 1024, 8, 8]               0
          Conv2d-374            [-1, 256, 8, 8]         262,144
          Conv2d-375            [-1, 256, 8, 8]         262,144
     BatchNorm2d-376            [-1, 256, 8, 8]             512
     BatchNorm2d-377            [-1, 256, 8, 8]             512
          Conv2d-378            [-1, 256, 8, 8]         589,824
          Conv2d-379            [-1, 256, 8, 8]         589,824
     BatchNorm2d-380            [-1, 256, 8, 8]             512
     BatchNorm2d-381            [-1, 256, 8, 8]             512
          Conv2d-382           [-1, 1024, 8, 8]         262,144
          Conv2d-383           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-384           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-385           [-1, 1024, 8, 8]           2,048
      Bottleneck-386           [-1, 1024, 8, 8]               0
      Bottleneck-387           [-1, 1024, 8, 8]               0
          Conv2d-388            [-1, 256, 8, 8]         262,144
          Conv2d-389            [-1, 256, 8, 8]         262,144
     BatchNorm2d-390            [-1, 256, 8, 8]             512
     BatchNorm2d-391            [-1, 256, 8, 8]             512
          Conv2d-392            [-1, 256, 8, 8]         589,824
          Conv2d-393            [-1, 256, 8, 8]         589,824
     BatchNorm2d-394            [-1, 256, 8, 8]             512
     BatchNorm2d-395            [-1, 256, 8, 8]             512
          Conv2d-396           [-1, 1024, 8, 8]         262,144
          Conv2d-397           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-398           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-399           [-1, 1024, 8, 8]           2,048
      Bottleneck-400           [-1, 1024, 8, 8]               0
      Bottleneck-401           [-1, 1024, 8, 8]               0
          Conv2d-402            [-1, 256, 8, 8]         262,144
          Conv2d-403            [-1, 256, 8, 8]         262,144
     BatchNorm2d-404            [-1, 256, 8, 8]             512
     BatchNorm2d-405            [-1, 256, 8, 8]             512
          Conv2d-406            [-1, 256, 8, 8]         589,824
          Conv2d-407            [-1, 256, 8, 8]         589,824
     BatchNorm2d-408            [-1, 256, 8, 8]             512
     BatchNorm2d-409            [-1, 256, 8, 8]             512
          Conv2d-410           [-1, 1024, 8, 8]         262,144
          Conv2d-411           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-412           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-413           [-1, 1024, 8, 8]           2,048
      Bottleneck-414           [-1, 1024, 8, 8]               0
      Bottleneck-415           [-1, 1024, 8, 8]               0
          Conv2d-416            [-1, 256, 8, 8]         262,144
          Conv2d-417            [-1, 256, 8, 8]         262,144
     BatchNorm2d-418            [-1, 256, 8, 8]             512
     BatchNorm2d-419            [-1, 256, 8, 8]             512
          Conv2d-420            [-1, 256, 8, 8]         589,824
          Conv2d-421            [-1, 256, 8, 8]         589,824
     BatchNorm2d-422            [-1, 256, 8, 8]             512
     BatchNorm2d-423            [-1, 256, 8, 8]             512
          Conv2d-424           [-1, 1024, 8, 8]         262,144
          Conv2d-425           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-426           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-427           [-1, 1024, 8, 8]           2,048
      Bottleneck-428           [-1, 1024, 8, 8]               0
      Bottleneck-429           [-1, 1024, 8, 8]               0
          Conv2d-430            [-1, 256, 8, 8]         262,144
          Conv2d-431            [-1, 256, 8, 8]         262,144
     BatchNorm2d-432            [-1, 256, 8, 8]             512
     BatchNorm2d-433            [-1, 256, 8, 8]             512
          Conv2d-434            [-1, 256, 8, 8]         589,824
          Conv2d-435            [-1, 256, 8, 8]         589,824
     BatchNorm2d-436            [-1, 256, 8, 8]             512
     BatchNorm2d-437            [-1, 256, 8, 8]             512
          Conv2d-438           [-1, 1024, 8, 8]         262,144
          Conv2d-439           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-440           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-441           [-1, 1024, 8, 8]           2,048
      Bottleneck-442           [-1, 1024, 8, 8]               0
      Bottleneck-443           [-1, 1024, 8, 8]               0
          Conv2d-444            [-1, 256, 8, 8]         262,144
          Conv2d-445            [-1, 256, 8, 8]         262,144
     BatchNorm2d-446            [-1, 256, 8, 8]             512
     BatchNorm2d-447            [-1, 256, 8, 8]             512
          Conv2d-448            [-1, 256, 8, 8]         589,824
          Conv2d-449            [-1, 256, 8, 8]         589,824
     BatchNorm2d-450            [-1, 256, 8, 8]             512
     BatchNorm2d-451            [-1, 256, 8, 8]             512
          Conv2d-452           [-1, 1024, 8, 8]         262,144
          Conv2d-453           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-454           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-455           [-1, 1024, 8, 8]           2,048
      Bottleneck-456           [-1, 1024, 8, 8]               0
      Bottleneck-457           [-1, 1024, 8, 8]               0
          Conv2d-458            [-1, 256, 8, 8]         262,144
          Conv2d-459            [-1, 256, 8, 8]         262,144
     BatchNorm2d-460            [-1, 256, 8, 8]             512
     BatchNorm2d-461            [-1, 256, 8, 8]             512
          Conv2d-462            [-1, 256, 8, 8]         589,824
          Conv2d-463            [-1, 256, 8, 8]         589,824
     BatchNorm2d-464            [-1, 256, 8, 8]             512
     BatchNorm2d-465            [-1, 256, 8, 8]             512
          Conv2d-466           [-1, 1024, 8, 8]         262,144
          Conv2d-467           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-468           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-469           [-1, 1024, 8, 8]           2,048
      Bottleneck-470           [-1, 1024, 8, 8]               0
      Bottleneck-471           [-1, 1024, 8, 8]               0
          Conv2d-472            [-1, 256, 8, 8]         262,144
          Conv2d-473            [-1, 256, 8, 8]         262,144
     BatchNorm2d-474            [-1, 256, 8, 8]             512
     BatchNorm2d-475            [-1, 256, 8, 8]             512
          Conv2d-476            [-1, 256, 8, 8]         589,824
          Conv2d-477            [-1, 256, 8, 8]         589,824
     BatchNorm2d-478            [-1, 256, 8, 8]             512
     BatchNorm2d-479            [-1, 256, 8, 8]             512
          Conv2d-480           [-1, 1024, 8, 8]         262,144
          Conv2d-481           [-1, 1024, 8, 8]         262,144
     BatchNorm2d-482           [-1, 1024, 8, 8]           2,048
     BatchNorm2d-483           [-1, 1024, 8, 8]           2,048
      Bottleneck-484           [-1, 1024, 8, 8]               0
      Bottleneck-485           [-1, 1024, 8, 8]               0
          Conv2d-486            [-1, 256, 8, 8]         262,144
          Conv2d-487            [-1, 256, 8, 8]         262,144
     BatchNorm2d-488            [-1, 256, 8, 8]             512
     BatchNorm2d-489            [-1, 256, 8, 8]             512
          Conv2d-490            [-1, 256, 8, 8]         589,824
          Conv2d-491            [-1, 256, 8, 8]         589,824
